web_scraper_order,web_scraper_start_url,link
1779450540-2,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530829
1779450540-3,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530800
1779450540-4,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530560
1779450540-5,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530213
1779450540-6,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530097
1779450540-7,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261529959
1779450540-8,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261529631
1779450540-9,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261528808
1779450540-10,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261528179
1779450540-11,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261528161
1779450540-12,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261527995
1779450540-13,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261527692
1779450540-14,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261527562
1779450540-15,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261527504
1779450540-16,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261527079
1779450540-17,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261526998
1779450540-18,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261526876
1779450540-19,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/258799906
1779450540-20,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/258799906
1779450540-21,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261526804
