web_scraper_order,web_scraper_start_url,title,content,author_or_gender_area
"1779468065-1","https://www.dcard.tw/f/partner_selection_criteria/p/260436733","#同性 離島的我再來碰碰運氣","#同性 離島的我再來碰碰運氣J狗熊追蹤25/12/10 10:33之前有發過文，想先敘述一下自己的現況跟後面的規劃。可以接受的再繼續往下看比較不浪費各位的時間！🤧
· 台南人目前住小琉球工作
· 明年九月過後預計到澳洲打工，可以的話想待滿三年（最少會想待兩年
· 在澳洲存一筆錢並考到自潛教練證
· 回台灣後住南部或東部工作，兼職自由教練

以下我用比較偏關鍵字的方式概述，詳細想了解的都可以直接私訊我！
【自我介紹】
年齡：25
角色：0
身高體重：169/60
地區：南部（目前住小琉球）
職業：服務業（電動車業、酒吧兼職、畫圖接案）
個性：E人、陽光、理性、直率、行動派、愛狗
缺點：牙齒不整齊(在存錢要矯正
興趣：畫圖、排球、自潛、唱歌、打瓦、各種運動
情史：2（前任去年七月分手）
經歷：私立科大畢業、捷克交換生半年、綠島打工換宿四個月、徒步環島中離未完待續

【擇偶條件】
年齡：23-30
角色：1/偏1
身高體重：身高不限，體重希望>60
地區：南部
職業：正當、能養活自己和有存款就行了
個性：陽光、有目標、願意溝通、愛狗
興趣：喜歡運動、其他不拘(有共同興趣當然最好
加分：原住民、黑皮膚、肉壯

——————————————————————
這次還會想再發一次文主要是因為，
上次遇到都中北部居多，又或是聊到後面就漸冷，
話題比較沒辦法延續，欠缺可以見面的機會。
我也知道是自己的問題比較多😅
所以才想再碰碰運氣能不能遇到生活現況或未來可以互相的那個人。
（照片都是近幾個月拍的）","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779468071-2","https://www.dcard.tw/f/partner_selection_criteria/p/260437881","#異性 #異性 尋找一起成長、互補的🧩","#異性 #異性 尋找一起成長、互補的🧩逢甲大學25/12/10 13:52【自我介紹】
🔅年齡：24-27
怕打出來太好認了

🔅身高體重：163/63
一週五練，但也很愛吃

🔅學歷：頭上這間~逢甲大學
大學畢業

🔅職業：業務
近兩年年收約65-70

🔅座標：北北基

🔅個性：
✨社會化的I人
✨做事喜歡有計劃、邏輯
✨大學開始就自己住，不會讓家人擔心或嘮叨，是個可以獨立自主的人，2026因為工作異動會回北部
✨工作時同事會很放心交辦事項、願意跟我討論遇到的問題，算是讓人感到負責、安心的好夥伴！
✨會傾聽、給予回饋
🫠缺點還是要誠實說，耐心大概7/10，個性有點木頭，撒嬌技能未點滿（抓頭）

🔅興趣：
喜歡看展覽、繪畫、健身，是個會舉鐵的文藝少女。
也喜歡看美景拍照旅遊，特別喜歡海邊，雖然是隻旱鴨子，去海邊不游泳，但喜歡欣賞日出、日落的美景、讓海浪拍打腳掌，享受浪漫平靜的時刻。

🔅感情經歷：
交過1任男朋友，6年的時間，從學生到出社會，喜歡這樣細水長流、互相陪伴、一起成長的日子，但感情線難免從高中、大學到出社會之間面臨生涯選擇，前進的道路不同，和平分手，也祝福彼此找到可以牽著手走向下一個階段的伴侶。
希望可以找到一起牽著手、一起分享生活喜悅與煩惱、一起進步的你~

🔅家庭、經濟：
一般家庭、無負債，父母不會干預太多我的生活，只要我能夠正當工作、養活自己、好好生活就好~

🚫不菸，偶爾小酌
---------
【希望你】
🔅年齡：25-31
🔅身高體重：173↑ Bmi 正常
🔅職業：正當、穩定工作，年收75↑
🔅座標：北部為主
🔅學歷：國立、私立前段大學畢業

🔅個性：幽默、善良體貼、情緒穩定、有上進心、願意一起嘗試新鮮事物、願意分享、善於聆聽、我們除了是好搭檔也是獨立的個體

🔅興趣：
希望你也有規律健身的習慣，可以一起追劇看電影，一起拍照、逛街、散步逛市集

🚫希望你也沒有抽菸

之前有發過文，但聊天相處下來比較傾向於朋友，就沒有進一步的發展。
謝謝看到這裡的你，如果願意認識，請你留言簡單自介一下、開啟私訊可以聊天、換照
分享最近看到的日出🌄0:000:00自動",""
"1779468077-3","https://www.dcard.tw/f/partner_selection_criteria/p/260438436","#異性 想找願意一起走下去的你","#異性 想找願意一起走下去的你G蘋果追蹤25/12/10 15:18之前都還沒遇到對的人，所以想再嘗試發一次。
我這次也把細節補充得更完整了。
如果願意來信，簡單介紹一下自己（有照片更讚）。
我分享的資訊，也希望你能同樣交換一下～
謝謝你❤️
　

《自我介紹》 
年紀：32
身高/體重：155-160公分/47-52公斤  
外型：大家都說我看起來比實際年齡還小一點～
平常也會稍微打扮，不會邋遢出門。
地區：台北 
職業性質：工作穩定、週休二日 
收入：約100上下 
個性：朋友說我很幽默，對另一半分享慾100分，喜歡黏著對方也喜歡撒嬌
興趣：喜歡追劇，逛街（逛女生喜歡的、逛好吃好玩的、逛老街、逛夜市全部都喜歡） 
假日喜歡出門走走，偶爾待在家一起追劇看電影下廚也很不錯
 
《擇偶條件》 

＊＊＊最重要：不菸不酒不檳榔不賭不嫖不約＊＊＊ 

年紀：30～40歲 
身高／體重：172以上 ／BMI正常 
外表：乾淨就好
地區：台北 
學歷：大學以上 
收入：100+ & 有車 
職業性質：工作穩定、週休二日 （希望可以找到平日下班一起吃飯，假日一起出遊的另一半） 
個性：情緒穩定，幽默大方，願意溝通，喜歡帶我出去到處走走逛逛，能夠給我安全感，誠實不說謊，不會和女生曖昧 
　
先說，曾經愛情長跑結婚後仍失敗收場， 有一個寶貝在對方那扶養，
目前生活上工作穩定、每天上下班兩點一線，
希望你也是對感情認真、來找未來人生伴侶的人
我是一個一旦決定要戀愛，就會全心全意的人，希望你也是:)
遇到問題就溝通，兩個人都願意磨合，不放開彼此的手，
好好走下去，一起經營一段穩定的感情。

希望你也嚮往婚姻，因為我還是抱著期待～
生小孩的話隨緣不排斥，雙方有共識即可

謝謝你耐心地看完❤️❤️❤️","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
"1779468082-4","https://www.dcard.tw/f/partner_selection_criteria/p/260438501","#異性 #找人生伴侶","#異性 #找人生伴侶S000000追蹤1 月 11 日 01:41 (已編輯)朋友在這個版上發文，有找到理想型，推薦我來試試看~

#個人資訊
年齡：24歲（快25了）
星座 ：雙魚座 
MBTI：ISTJ 
身高：175
體重：70
體脂：10~15%
學歷：臺大研究所(非電資)
職業：正在當兵，科技業廠務工程師，年薪約100w+
金錢觀：AB制
感情經歷：三任
座標：台中/高雄(住家/工作位置)
外表：斯文、有戴眼鏡、有在健身，怕被認出來所以其他的可以之後交換照片
興趣：
室內：拼圖、看動漫(進巨/死神/JOJO/暗殺教室/獵人/入學傭兵/我獨自升級/間諜家家酒)、Rick and Morty
戶外：出國、健身、密室逃脫、到處逛街吃美食
個性：
1.  善解人意，會站在對方角度思考避免對方受傷
2.  喜歡黏一點，當然可以有自己的空間，事先溝通好即可。雖不喜歡遠距離，但如果是遠距離，晚上希望能空個1~2小時互動(一起追劇、分享日常)，最好有視訊、以台北-高雄距離為例，希望的見面頻率兩週一次
3.做事會有事前規劃

期望：
1.  熱戀期和平淡期有差異正常，但不能差異太大 
2.  只願意跟伴侶性行為，不約、不開放式

----------------------------------------------------------------------------------
#理想伴侶
年齡：22~26
身高：155~170
體重：搭配身高計算的BMI正常(18.5~24)
最高學歷：中字輩以上
職業：非特種行業、年薪不拘，能養活自己即可
感情經歷：理想上 3 任以內 
外表：看感覺，清秀、看順眼即可
興趣：不拘(我會願意聽妳分享，去了解)
個性：
1. 願意理性溝通，不冷暴力、情緒勒索
2. 專情，對伴侶忠誠
3. 善解人意，會站在對方角度思考避免對方受傷 
4. 有責任感
5. 善良
6. 上進

未來規劃：如果相處後覺得適合，希望以結婚、相處一輩子為前提交往
若有興趣且符合條件的女生，歡迎直接私訊我！
(方便的話，私訊時可以自我介紹，比較好認識妳)","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779468088-5","https://www.dcard.tw/f/partner_selection_criteria/p/260406811","#異性 尋找異性朋友 長期","#異性 尋找異性朋友 長期國立臺灣師範大學25/12/5 18:12 (已編輯)簡單自我介紹：
身高體重 180-181/75 
外表：高瘦型（不過肚子有點肉）
長相普通 / 戴眼鏡 / 最近開始認真練習穿搭
25歲 / 碩三（頭上這間理工相關）差論文畢業
已經有全職工作了，目前月薪7w，工作時間比較自由不用進辦公室，在一起的話應該有比較多時間可以相處，但可能有時候會需要出門去找合作對象或客戶開會
MBTI：INTP INFP 中間（有時候測出來是 INTP 有時候 INFP，理性感性兼具）
興趣：看小說、美食，偶爾看一些有興趣的動漫，還有就是很喜歡出國玩（目前比較常去的是日本或中港澳，常常都是自己去獨旅所以會很想有個人能陪自己一起去玩）
感情經驗 0 / 不菸酒 / 不約

關於你
年齡 19～27、學生佳
地區：雙北、桃園
臉：順眼、可愛、平常不戴眼鏡、有眼緣即可
身高：155+ 不要胖、不要比我高就好
不菸不酒（偶爾偶爾會喝可以接受）

我比較慢熱單純、好像藏不太住什麼秘密（應該可以讓對象比較有安全感）希望可以找比較專一、長久的對像，可以先從朋友做起

第一次嘗試發徵友文，希望大家鞭小力一點 🙏",""
"1779468093-6","https://www.dcard.tw/f/partner_selection_criteria/p/260439037","#異性 #可私訊 尋找異性朋友 長期","#異性 #可私訊 尋找異性朋友 長期TA追蹤25/12/10 18:29 (已編輯)因為還沒找到加上上一篇沒有開到私訊重發一次

原本有聊到一個我自己覺得頻率很合的，但我自己暈船暈太快又藏不住什麼秘密或是心事什麼都說（我應該就是這樣的性格，雖然真誠應該可以讓另一半比較有安全感，但可能也會不經意間讓對方也很有壓力）感覺自己挺蠢的 應該是沒機會了 哈哈

很怕自己再次暈這麼快，希望可以找願意慢慢聊的對象（我覺得心靈各方面契合真的很重要）或是想要來開導我、看不慣想教訓我也歡迎 🤣 最近有發現我應該是比較喜歡被照顧的類型，好像也喜歡被控制、有人管的感覺，所以不會排斥年紀稍微比我大一點點的（但希望 27 以下）年紀比我小的也歡迎！

關於我以及其他條件可以參考我上一篇貼文：
擇偶條件板國立臺灣師範大學25/12/5#異性 尋找異性朋友 長期簡單自我介紹：身高體重 180-181/75，外表：高瘦型（不過肚子有點肉），長相普通 / 戴眼鏡 / 最近開始認真練習穿搭，25歲 / 碩三（頭上這間理工相關）差論文畢業，已經有全職工作了，目前月薪","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779468098-7","https://www.dcard.tw/f/partner_selection_criteria/p/260440225","#異性 尋找另一半","#異性 尋找另一半萬能科技大學25/12/10 19:47【自我介紹】
年齡：22～25
地區：桃園
身高體重：161～165/50～54
個性：慢熱 I人 容易緊張
沒人約喜歡待在家看YouTube玩手機，有人約才出門^_^

【擇偶條件】
年齡：24～26
地區：桃園 雙北
身高：170以上
個性：溫和 會照顧人
其他：希望是沒有感情經驗的（我自己也是） 

徵真心想認識的男生",""
"1779468104-8","https://www.dcard.tw/f/partner_selection_criteria/p/260440515","#異性 找異性朋友或另ㄧ半","#異性 找異性朋友或另ㄧ半W皮卡稱追蹤25/12/10 20:30 (已編輯)年齡：29
身高：167/58
外型：小正太 （可愛型）
職業：軟體工程師
個性：不熟話少，熟了可以聊到外太空，講話比較直接，喜歡開玩笑互相打鬧的相處模式
興趣：有健身的習慣，可以一起看電影，一起拍照、逛街、散步逛展覽、打遊戲、動靜皆宜，但平常當宅男居多
地點：桃園人住台北


希望妳：
年齡：18~300
身高：不限（你不在意我身高就好）
體重：適中以下
外表：文青、可愛（可換照看感覺再聊）
個性：希望開朗活潑，或是跟我ㄧ樣熟了ㄧ起變瘋子
地點：希望是在北部地區","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
"1779468109-9","https://www.dcard.tw/f/partner_selection_criteria/p/260442328","#雙性 雙性、男生女生、新竹台北","#雙性 雙性、男生女生、新竹台北Hz追蹤25/12/11 15:56 (已編輯)不好意思我先關私訊，好像沒辦法一次跟太多人聊天，另外有些只有打聲招呼或是自介太少的，可能就先不回覆了，sorry。

太久沒去拜月老感覺被遺忘了，決定靠自己！

自我介紹
年齡：24
性別：女
性向：雙性，男生女生都ok
身高：156
出沒地：新竹、雙北
職業：清交碩就讀中
外型：長髮，不太常化妝，一般都素踢配牛仔褲，但也有些古著跟韓國代購，應該算普普通通順眼類型（？
個性：
獨立，可以自己去看電影去咖啡廳的等級
情緒穩定，朋友曾發起挑戰目標是惹我生氣
喜歡嘗試新事物、隨和好相處、樂觀、偏e的i人、喜歡小動物
興趣：看電影、看展、追劇看動漫、跑咖、旅遊、出國
缺點：
記憶力超級差、不太會撒嬌、很不會逛街

擇偶條件
地區：新竹以北
年齡：20-28
性別：不限
身高外型：不限，乾乾淨淨就行
學歷職業收入：不限，賺得錢夠自己花就行
個性：
1.善良有同理心、有禮貌
2.低調但有個有趣的靈魂
3.有自己的興趣或朋友圈
4.生活不頹廢、願意嘗試新事物
5.樂觀好相處

希望的相處模式
能互相陪伴一起成長，信任對方，不會過度限制對方朋友圈。
能靜能動，可以一起出門晃晃，也可以一起窩在被窩追劇。
願意溝通，分享生活。

最近想去看大濛跟東京教父
還想去北美館看台北雙年展
有機會可以一起去

希望可以找到一個跟我一起在日常中體驗幸福的人，也祝大家順順利利
有興趣的可以來聊聊天，如果聊一聊適合當朋友也沒問題","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-female)"
"1779468115-10","https://www.dcard.tw/f/partner_selection_criteria/p/260442413","#異性 #貓#異性 #擇偶健檢 #雙北新竹","#異性 #貓#異性 #擇偶健檢 #雙北新竹Y哈哈嘻嘻追蹤3 月 13 日 11:02 (已編輯)————
⚽️基本資料
32歲 / 179cm / 73kg
職業：工程師
年收：200+
居住地：雙北人，目前新竹工作
生活習慣：不菸不酒
飲食：原型食物派，生魚片++，無糖飲，健康飲食
有車無房
健檢無紅字
交往3任

🏀外貌
單眼皮或內雙（看心情出現哪個）。
身材偏瘦但結構結實。
牙齒矯正過，看牙齒不會讓你分心。
平常戴眼鏡，偶爾變身隱眼版。
寬褲，寬上衣，大部份素色派，有鼻梁👃，沒鬍子


🏈個性
幽默、可內可外。
會搞笑，但在需要正經的場合比誰都正經。
理工男。
獨立，不黏人，但會在你需要的時候瞬間變成黏TT。
喜歡嘗試新鮮事，做過才知道會不會喜歡。
一個人也能過得很好：會自己看電影、吃飯、亂晃。

⚾️興趣（照成癮程度排序）
	1.	吸貓（每天必須，不然會精神衰弱）
	2.	籃球（不是健美巨巨，只是愛跑愛跳）
	3.	健身（讓自己維持不錯的線條）
	4.	露營、玩電動、游泳、衝浪、爬山（放假看天氣跟心情）
一句話總結：
身體動的比屁股坐著的時候還多。

🎾最重要
家裡有一隻貓， 我很愛她❤️
⸻
關於妳
1. 年齡25-35
2.希望你會運動 不管任何一項
重要的是希望妳能對一件事情有專注與執著度
3. 希望妳吃清淡一點 不要重鹹重油重口味，偶爾當然沒關係
4. 希望身高158以上
5. 新竹以北 如果新竹上班 假日回家鄉台北更好
6. 希望妳是身體健康 
7. 不排斥貓
如果有機會認識你，
當朋友聊天也好，網路世代更應該要多出門走走接觸大自然，
總之 不要有壓力保持開心的心情才是最重要的

有興趣可以私訊我自我介紹 謝謝妳","font-size:10px;width:20px;height:20px;--d1ihhtxw1:var(--color-gender-male)"
