doc_id,web_scraper_order,web_scraper_start_url,link,article_title,article_content,gender
0,1779450540-2,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530829,#異性 34歲 大叔 宜蘭人 徵女友,NLBboi追蹤今天 18:46175/74 泰雅族 做音樂 嘻哈 R&B 搖滾 那類 希望女友也愛音樂 最好也可以喜歡運動 簡單健身 溫柔體貼 乖乖牌就好 如果你有夢想 目標 我也想跟妳一起完成 我不是什麼帥哥 但絕對專情也純情 但如果想當player 那就不要走心👌🏼,male
1,1779450540-3,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530800,#異性 #異性#交友#找伴,年紀：30（1996） 身高：168 體態：65 左右 職業：公職人員 學歷：台大理工科碩士 地區：桃園 個性算慢熟偏內向，但熟了之後其實蠻愛聊天，會分享生活大小事、八卦，想到什麼也常會臨時起意去做。 MBTI：INFJ（雖然偶爾覺得自己沒有那麼標準😅） 平常在辦公室比較少曬太陽，膚色偏白，微燙捲。穿著大多是素T、襯衫或偏日系簡單風格，喜歡舒服、不太複雜的感覺。 生活步調算規律，平日多在工作和自己的小日常之間切換，但不排斥偶爾突然安排一場小旅行、逛市集或去聽團。 沒有特別的不良嗜好，偶爾朋友或同事聚餐會喝點酒，也蠻喜歡微醺放鬆聊天的感覺。 算是能陪你規劃未來，也能陪你臨時起意說走就走的人。 金錢觀偏務實，日常小錢不太計較；感情裡比較喜歡互相請客、你一餐我一餐，大筆支出再一起討論分擔。會希望彼此都有理財觀念，也保有各自生活。 興趣部分，這兩年開始喜歡獨立樂團、聽團，有活動會去晃晃找喜歡的歌；也喜歡逛市集、到處走走、偶爾小旅行。比起待在家，更喜歡看看沒接觸過的新東西。 如果哪天聊天聊到冷門樂團、都市傳說或奇怪知識，我可能會突然變很多話。 外表偏安靜，但熟了之後大概是會分享梗圖和幹話的類型。 ［想認識的你］ 年齡：25–33 歲左右 地區：桃園／雙北／新竹 身高：希望155上下，體態健康正常 假日的行程不用太趕，可以一起規劃，去沒去過的小店探險，或是一起體驗沒嘗試過的活動。 期許你也不菸，偶爾可小酌，也希望妳生活步調單純規律，在放假時彼此一起充電。,male
2,1779450540-4,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530560,#異性 #常出國#徵友,L匿名追蹤今天 17:53希望有興趣的 可以先聊聊天，彼此互動之後，有好感可以再約見面吃個飯或看看展覽.看電影都OK 自我介紹 📍南部（男）｜33y｜企業家 年收入 300up 🙋‍♂️173cm｜69公斤 最高學歷：國立大學碩士 感情：2任經驗 MBTI：E人｜處女座 個性：認真、負責任、隨和、開朗、偏感性、喜歡幫忙朋友。 不嫖，不抽煙，不賭，不吃檳榔，無刺青， 平常喜歡分享生活.美食.音樂.旅遊.電影.追劇.動漫.看書.出國.音樂劇。 🙋‍♀️聊聊我希望的伴侶特質 希望能找到善良溫暖的另一半，哪怕吃點虧還是願意發自內心的幫助身邊的人～ 喜歡旅遊，對未來有很多的想法，我們可以一起聊聊蹦出新想法，喜歡一起努力邁向我們設定的目標前進 年齡：33歲以下 （女） 身材：145-178CM｜bmi正常 外型： 陽光開朗或是有氣質 工作：穩定 生活地點：希望是南部 學歷：無要求 個性：溫柔、善良、願意溝通、互相體諒、幽默、如果撒撒嬌更好😊 生活簡單、沒有不良嗜好 可私訊，請提供自介及照片或聯絡資訊，這樣我們才有機會互相認識，謝謝。,male
3,1779450540-6,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261530097,#異性 尋找一位認真可愛的女孩，一起探索人生的美好,"白鯨追蹤今天 16:26 (已編輯)《關於我🙋🏻‍♂️》 *基本資料： 臺北，25 歲，警察，170/68。 *MBTI、星座與個性： ISTJ（偶爾E)，牡羊♈️。 個性謹慎、善良、認真（但偶爾還是會懶惰🤣）。 *經濟與價值觀： 經濟穩定，會花心力在財務規劃與投資上，打造穩固的經濟堡壘，讓自己有底氣去享受人生。除了平穩的日常，也期待能與妳一起創造轟轟烈烈的回憶，我相信一段美好的關係，是有底氣穩定生活，也有熱情及能力去一起冒險。 *我的興趣： -旅遊：近期想規劃去日韓自由行。 -運動：身體健康型，可以慢跑、騎腳踏車、羽球、健身、游泳、爬山、路跑等，近期也有在健身的計畫，想拿回身體健康權。 -3C 科技：喜歡研究和玩 3C 產品，對新設備與科技很有興趣。 -美食：日韓料理及牛排愛好者。 -攝影：紀錄美好瞬間。 -休閒娛樂：桌遊（跟朋友們鬥智鬥勇）、唱歌（抒發心情）、看影片（動漫、Youtube、陸劇、美劇等）、玩電腦（單機）、玩手遊（皇室戰爭）。 -自我成長：唸書學習、投資理財、參加活動、嘗試新事物。 《想找的妳🙋🏻‍♀️》 *年齡： 20-30 歲。 *距離： 離台北火車站越近越好。 希望妳是個開朗、活潑及認真生活的可愛女孩，讓我們先從一起吃頓飯、聊聊彼此的興趣開始，如果有興趣，再請私訊我並留下自介。<img alt=""sticker"" loading=""lazy"" decoding=""async"" data-nimg=""intrinsic"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%"" srcSet=""https://megapx-assets.dcard.tw/images/e09aa338-95bf-447d-84aa-c9eae1721958/160.webp 1x, https://megapx-assets.dcard.tw/images/e09aa338-95bf-447d-84aa-c9eae1721958/320.webp 2x"" src=""https://megapx-assets.dcard.tw/images/e09aa338-95bf-447d-84aa-c9eae1721958/320.webp""/>",male
4,1779450540-7,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261529959,#異性 #異性#隨緣,H不太勤勞的小兔子🐰追蹤今天 15:58關於我: 24-25歲 中部人 158-162/50-55 學歷:私立科大在學中 個性:ESFP，外向到不行的浪漫瘋子? 地區:中部為主(遠距離也不是不行但..我比較沒把握 年收:雖然是學生，但還是有固定收入餓不死自己還有餘力養小寵物跟旅遊 未來規劃:把學業完成後再旅居歐洲一陣子~ 希望你: 年紀:22-32歲 體重:65-78之間 外型:178以上(私心喜歡腿好看單眼皮的男生 個性:不要太冷，喜歡聊天會小酌加分 職業:不限 不要灰黑色地帶即可 主要是想談戀愛，禁止已結婚為前提..壓力太大,female
5,1779450540-8,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261529631,#異性 #異性 #異性 #交女友,年齡：22 身高：187 BMI：正常 就讀科系：國立科大企管系 星座：摩羯 出沒：台北，雲林（可接受遠距離） 長相：普通 感情經驗：0 個性：脾氣還不錯，但有點I，熟了話多，平常不笑的時候感覺讓人不親近，但其實不會，可理性可感性，會思考很多 興趣：騎車，音樂，投資看股票，看YouTube ，運動，NBA，MLB，美食，喝咖啡，貓狗，手遊等想聊什麼就聊什麼 金錢觀：小錢我出，大錢輪流（可以深聊） 感情觀：遇見就是緣分，好好把握當下，互相陪伴很重要（可以深聊） 未來目標：汽車駕照（沒時間考），高普考或讀碩士， 三點一線，打工學校租屋處，不抽菸不喝酒不嫖不賭，分享欲高，雖然我不是很會安慰人，但可以傾聽對方心事，接納對方情緒，可以聊聊感情觀價值觀金錢觀興趣什麼都可以聊 關於妳 年齡：大學生範圍 BMI：正常範圍 感情經驗：0-1 個性：不要公主不要無理取鬧 長相：乾淨可愛，不怎麼看重長相，我覺得是在一起的那種FU 感謝各位，希望能遇見心儀對象，想認識的妳可以聊聊看噢,male
6,1779450540-9,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261528808,#異性 #互補 #佛系 #追星 #交友,年齡：33歲 333天 座標：桃園 身高體重：號稱170 加個鞋子可以 58KG 職業： 廣義公務人員 絕對不會餓死的那種也不會突然發財 個性：慢熟 講幹 直男 興趣：當個活網仔 有大片就會去看 追TWICE(不是 TW ICE) 有人揪我去逛街我就出發但是沒有人 平常晚上都在跟朋友打PUBG 【擇偶條件】 年齡：18↑ 40↓ 座標：北部 身高體重：健康就好 個性：可以跟我聊得來即可 詳細可以私訊 詢問,male
7,1779450540-10,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261528179,#異性 異性！交友、另一半,年齡：2002 24歲 職業：國際貿易公司上班族也有在服飾店打工 學歷：學士 外型：170/68 平時有在健身、打球 居住：新北 個性：樂觀善良、活潑、願意溝通、情緒穩定。沒有抽煙、喝酒、刺青、沒有壞習慣。 長相：不是帥的類型但屬於可愛陽光類型乾淨整潔 穿搭：基本上運動休閒風跟工裝簡單乾淨為主（台灣太熱了） 工作及目標：目前工作非常穩定週休二日（見紅休 ，目標未來想創業做自己想要做的事情不被綁住 興趣：平常喜歡🏀🏸、健身、旅遊、唱歌、水上運動、吃美食、偶爾也會在家追劇、看電影還有很多可以慢慢了解！！ （關於妳） 年齡：正負3左右 27～21 地區：盡量能雙北地區 類型：可愛活潑開朗會運動加分，或願意陪伴也可以 身材：健康自己開心就好🥰（不要太太瘦都可以） 個性：有自己的目標對自己負責任的心 如果有機會希望可以私訊我聊聊天💬慢慢認識彼此互相陪伴成長！,male
8,1779450540-11,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261528161,#異性 徵認真談感情的妳,年齡：35歲 身高：181cm 體重：76kg 地區：北部 學歷：大學畢 工作 : 科技業 薪水 : 年薪200up 家庭：父母健在，家庭關係和諧 感情經驗：2 個性：有責任感、細心、樂觀、不拘小節 興趣：看電影、看演唱會、出國、運動、打籃球 其他補充：沒抽菸沒喝酒、沒刺青、沒戴眼鏡、有自己的投資理財規劃、貓貓狗狗都喜歡 理想的對象 年齡：35以下 身高：173以下 地區：不限 個性：好相處、情緒穩定、樂觀 其他補充 : 三觀正常、交友單純、有邊界感、有自己的想法及目標、未婚過、未生過小孩 加分項 : 偏瘦的女生 希望妳也能附上簡單的自我介紹 照片如果妳傳我也會回傳的！,male
9,1779450540-12,https://www.dcard.tw/f/partner_selection_criteria?tab=latest,https://www.dcard.tw/f/partner_selection_criteria/p/261527995,#異性 #異性台南徵交往對象,年齡：29 身高體重：181/90 職業：餐飲業老闆 個性：慢熟 老實 INTP 有上進心 （有點直男可以提醒一下）可黏可不黏 有趣的靈魂 興趣：重機 健身 研發菜色 玩電腦 講幹話 創業 金錢觀： 朋友AA 在一起希望互相 愛情觀：有邊界感 不會主動跟異性聊天出門 不接受遠距離 其他：不煙不酒不賭不約不檳榔不夜店沒刺青無負債 缺點：不夠細心不夠浪漫有點理性 不擅長社交 寵物：兩貓兩狗 【擇偶條件】 年齡：24～36 身高體重：標準 地區：台南 個性：細心 外向 體貼 興趣：正常向都接受 金錢觀：不要月光族 無負債 希望：不煙不賭不約 小酌可以（還是要知道自己酒量） 可以一起打拼 個性可以互補 可以彌補對方的缺點 愛寵物,male
